,Time,Date,Humidity (%),Temp (C)
72,129606,12/05/21,81,27.099999999999998
73,131406,12/05/21,83,26.200000000000003
74,133206,12/05/21,94,25.900000000000002
75,135006,12/05/21,98,26.900000000000002
76,136807,12/05/21,99,26.1
77,138607,12/05/21,85,26.8
78,140407,12/05/21,84,25.8
79,142207,12/05/21,98,26.4
80,144007,12/05/21,87,25.5
81,145807,12/05/21,84,25.799999999999997
82,147607,12/05/21,91,26.2
83,149407,12/05/21,98,26.799999999999997
84,151207,12/05/21,81,25.9
85,153007,12/05/21,86,25.7
86,154808,12/05/21,91,26.599999999999998
87,156608,12/05/21,90,25.9
88,158408,12/05/21,86,25.4
89,160208,12/05/21,84,26.799999999999997
90,162008,12/05/21,90,26.9
91,163808,12/05/21,98,26.099999999999998
92,165608,12/05/21,87,25.099999999999998
93,167408,12/05/21,92,25.9
94,169208,12/05/21,90,25.0
95,171008,12/05/21,97,25.3
96,172808,12/05/21,81,26.6
97,174608,12/05/21,81,26.4
98,176409,12/05/21,97,26.4
99,178209,12/05/21,99,24.9
100,180009,12/05/21,90,25.5
101,181809,12/05/21,94,25.799999999999997
102,183609,12/05/21,82,26.099999999999998
103,185409,12/05/21,84,25.7
104,187209,12/05/21,94,25.8
105,189009,12/05/21,90,26.7
106,190809,12/05/21,99,25.4
107,192609,12/05/21,88,26.2
108,194410,12/05/21,88,25.9
109,196210,12/05/21,90,25.8
110,198010,12/05/21,90,25.9
111,199810,12/05/21,88,26.8
112,201610,12/05/21,89,25.700000000000003
113,203410,12/05/21,83,26.6
114,205210,12/05/21,84,25.200000000000003
115,207010,12/05/21,87,26.3
116,208810,12/05/21,84,26.0
117,210610,12/06/21,99,25.200000000000003
118,212410,12/06/21,86,25.7
119,214210,12/06/21,82,26.4
120,216011,12/06/21,87,26.900000000000002
121,217811,12/06/21,96,26.700000000000003
122,219611,12/06/21,85,25.2
123,221411,12/06/21,99,26.3
124,223211,12/06/21,81,26.900000000000002
125,225011,12/06/21,90,25.3
126,226811,12/06/21,91,26.8
127,228611,12/06/21,89,25.5
128,230411,12/06/21,93,25.8
129,232211,12/06/21,85,25.5
130,234011,12/06/21,92,26.6
131,235811,12/06/21,96,26.400000000000002
132,237612,12/06/21,93,25.9
133,239412,12/06/21,87,26.3
134,241212,12/06/21,94,25.9
135,243012,12/06/21,90,25.5
136,244812,12/06/21,87,26.2
137,246612,12/06/21,86,25.8
138,248412,12/06/21,93,26.4
139,250212,12/06/21,92,26.3
140,252012,12/06/21,95,25.3
141,253812,12/06/21,99,27.1
142,255612,12/06/21,97,26.7
143,257412,12/06/21,93,27.5
144,259212,12/06/21,82,27.6
145,261012,12/06/21,92,28.0
146,262812,12/06/21,88,26.3
147,264612,12/06/21,80,26.3
148,266412,12/06/21,80,27.299999999999997
149,268212,12/06/21,90,26.6
150,270012,12/06/21,90,27.1
151,271812,12/06/21,97,26.400000000000002
152,273613,12/06/21,86,26.700000000000003
153,275413,12/06/21,95,27.4
154,277213,12/06/21,99,26.5
155,279013,12/06/21,83,27.900000000000002
156,280813,12/06/21,92,27.7
157,282613,12/06/21,80,26.2
158,284413,12/06/21,94,26.599999999999998
159,286213,12/06/21,93,27.1
160,288013,12/06/21,84,27.099999999999998
161,289813,12/06/21,88,26.5
162,291613,12/07/21,97,26.8
163,293414,12/07/21,82,27.900000000000002
164,295214,12/07/21,94,27.7
165,297014,12/07/21,82,27.0
166,298814,12/07/21,96,27.8
167,300614,12/07/21,86,26.8
168,302414,12/07/21,85,28.099999999999998
169,304214,12/07/21,87,27.400000000000002
170,306014,12/07/21,97,28.1
171,307814,12/07/21,87,26.9
172,309614,12/07/21,98,27.799999999999997
173,311415,12/07/21,82,26.6
174,313215,12/07/21,96,26.900000000000002
175,315015,12/07/21,88,27.599999999999998
176,316815,12/07/21,98,27.2
177,318615,12/07/21,87,27.0
178,320415,12/07/21,89,26.200000000000003
179,322215,12/07/21,91,27.400000000000002
180,324015,12/07/21,97,27.3
181,325815,12/07/21,86,27.5
182,327615,12/07/21,84,25.9
183,329416,12/07/21,83,27.599999999999998
184,331216,12/07/21,93,26.3
185,333016,12/07/21,82,26.900000000000002
186,334816,12/07/21,90,26.4
187,336616,12/07/21,95,26.599999999999998
188,338416,12/07/21,85,25.7
189,340216,12/07/21,89,26.7
190,342016,12/07/21,95,26.8
191,343816,12/07/21,99,26.7
192,345616,12/07/21,91,26.2
193,347417,12/07/21,88,26.0
194,349217,12/07/21,82,27.0
195,351017,12/07/21,88,26.3
196,352817,12/07/21,98,25.900000000000002
197,354617,12/07/21,98,27.6
198,356417,12/07/21,99,27.5
199,358217,12/07/21,90,26.6
200,360017,12/07/21,81,27.6
201,361817,12/07/21,85,27.200000000000003
202,363617,12/07/21,87,27.0
